,State,LGA,Health and Safety,Legality,Affordability,Quality,Reliability,Daily Availability,Daytime Availability,Evening Availability,Capacity
0,Cross River,Calabar Municipal,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3,Tier 4,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
1,Cross River,Calabar Municipal,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
2,Delta,Ughelli North,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 0 / Tier 1,Tier 0 / Tier 1,Tier 4,Tier 1 / Tier 2,Tier 2,Tier 4 / Tier 5,Tier 5
3,Bayelsa,Nembe,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 0 / Tier 1,Tier 0 / Tier 1,Tier 3,Tier 1 / Tier 2,Tier 2,Tier 2,Tier 5
4,Cross River,Calabar Municipal,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 2,Tier 2,Tier 3,Tier 1 / Tier 2,Tier 3,Tier 1,Tier 5
5,Cross River,Calabar Municipal,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
6,Cross River,Calabar South,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
7,Bayelsa,Yenagoa,Tier 0 / Tier 1 / Tier 2 / Tier 3,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3,Tier 4,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
8,Bayelsa,Yenagoa,Tier 0 / Tier 1 / Tier 2 / Tier 3,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3,Tier 3,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
9,Bayelsa,Yenagoa,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
