State,Health and Safety_Tier,Legality_Tier,Affordability_Tier,Quality_Tier,Reliability_Tier,Daily Availability_Tier,Daytime Availability_Tier,Evening Availability_Tier,Capacity_Tier,Overall_Tier (Minimum Tier),Overall_Tier (Mean Tier)
Abia,3.975369458,3.995073892,2.019704433,2.738916256,0.197044335,1.221674877,1.384236453,3.054187192,1,0.197044335,2
Adamawa,3.993377483,4.417218543,1.456953642,2.642384106,0.033112583,1.099337748,1.364238411,3.152317881,1,0.033112583,2
Akwa-Ibom,4.100977199,4.283387622,0.830618893,1.840390879,0,1.214983713,1.462540717,3.237785016,1,0,2
Anambra,4.986842105,5,0.361842105,1.585526316,0.016447368,1.333333333,1.898026316,3.976973684,1,0.016447368,2
Bauchi,4.169082126,4.942028986,0.869565217,2.06763285,0,1.236714976,1.251207729,3.381642512,1,0,2
Bayelsa,2.528089888,2.662921348,0.617977528,1.674157303,0,1.168539326,1.123595506,2.146067416,1,0,1
Benue,4.148288973,4.376425856,1.768060837,2.882129278,0.190114068,1.320610687,1.619771863,3.372623574,1,0.190114068,2
Borno,2.922330097,3.349514563,0.606796117,1.597087379,0.388349515,1.150485437,1.422330097,2.621359223,1,0.388349515,2
Cross River,3.563106796,3.466019417,0.922330097,2.029126214,0.048543689,1.126213592,1.242718447,2.422330097,1,0.048543689,2
Delta,4.895522388,4.880597015,1.380597015,2.712686567,0.093283582,1.108208955,1.268656716,3.623134328,1,0.093283582,2
Ebonyi,4.37254902,4.424836601,0.196078431,1.274509804,1.14379085,1.431372549,1.751633987,3.568627451,1,0.196078431,2
Edo,4.781420765,5,0.765027322,2.245901639,0.191256831,1.224043716,1.715846995,3.93989071,1,0.191256831,2
Ekiti,4.491712707,4.513812155,0.027624309,1.066298343,0.055248619,1.177777778,1.414364641,3.099447514,1,0.027624309,2
Enugu,4.805668016,5,1.983805668,2.829959514,0.303643725,1.5,1.75708502,3.886639676,1,0.303643725,3
Federal Capital Territory,4.607361963,4.852760736,2.576687117,3.355828221,0,1.17791411,1.411042945,3.674846626,1,0,3
Gombe,4.180327869,4.606557377,0.655737705,1.639344262,0.204918033,1.661157025,1.778688525,3.696721311,1,0.204918033,2
Imo,4.758865248,4.985815603,1.64893617,2.656028369,0.017730496,1.217081851,1.425531915,3.492907801,1,0.017730496,2
Jigawa,3.545454545,3.854545455,0.5,1.472727273,0,1.395454545,1.454545455,3.077272727,1,0,2
Kaduna,3.742358079,3.812227074,1.200873362,2.344978166,0,1.043668122,1.183406114,2.825327511,1,0,2
Kano,4.3894081,4.987538941,1.308411215,2.22741433,0,1.23364486,1.274143302,3.713395639,1,0,2
Kastina,4.197080292,4.781021898,1.204379562,2.065693431,0,1.324817518,1.328467153,3.799270073,1,0,2
Kebbi,3.377142857,4.154285714,0.828571429,2.188571429,0.028571429,1.188571429,1.354285714,3.222857143,1,0.028571429,2
Kogi,3.923976608,4.602339181,1.549707602,2.555555556,0.204678363,1.450292398,1.69005848,3.631578947,1,0.204678363,2
Kwara,4.407407407,4.975308642,3.024691358,3.709876543,0,1.093167702,1.296296296,3.450617284,1,0,3
Lagos,4.880774963,4.970193741,2.056631893,2.79880775,0.350223547,1.48733234,1.670640835,3.737704918,1,0.350223547,3
Nasarawa,4.304347826,4.617391304,0.695652174,1.869565217,0.043478261,1.452173913,1.556521739,3.634782609,1,0.043478261,2
Niger,4.539170507,4.649769585,0.921658986,1.820276498,0,1.391705069,1.608294931,3.700460829,1,0,2
Ogun,4.744,4.792,1.74,2.584,0.02,1.108,1.052,2.752,1,0.02,2
Ondo,4.960591133,5,2.684729064,3.674876847,0.024630542,1.078817734,1.231527094,3.389162562,1,0.024630542,3
Osun,4.662835249,4.877394636,1.609195402,2.789272031,0.095785441,1.237547893,1.310344828,3.180076628,1,0.095785441,2
Oyo,4.294117647,4.839009288,2.291021672,3.238390093,0.030959752,1.012383901,1.034055728,2.938080495,1,0.030959752,2
Plateau,2.464052288,2.725490196,0.947712418,1.973856209,0.032679739,1.202614379,1.196078431,2.176470588,1,0.032679739,2
Rivers,4.236111111,3.708333333,1.163194444,2.243055556,0.295138889,1.315972222,1.399305556,3.368055556,1,0.295138889,2
Sokoto,2.976470588,2.976470588,0.558823529,1.558823529,0,1.117647059,1.223529412,2.370588235,1,0,2
Taraba,2.643410853,2.674418605,0.07751938,1.217054264,0.03875969,1.294573643,1.333333333,2.209302326,1,0.03875969,1
Yobe,3.789915966,4.529411765,2.521008403,3.109243697,0,1.378151261,1.571428571,3.478991597,1,0,2
Zamfara,2.86163522,3.188679245,0.534591195,1.566037736,0,1.075471698,1.125786164,2.389937107,1,0,2
