State,Interview,Follow up Questionnaire,Desktop Research Data
Abia,Done ✅,Pending 🟡,Done ✅
Adamawa,Done ✅,Done ✅,Done ✅
Akwa Ibom,Done ✅,Pending 🟡,Done ✅
Anambra,Done ✅,Pending 🟡,Pending 🟡
Bauchi,Done ✅,Done ✅,Done ✅
Bayelsa,Done ✅,Done ✅,Done ✅
Benue,Done ✅,Done ✅,Done ✅
Borno,Done ✅,Pending 🟡,Pending 🟡
Cross River,Pending 🟡,Done ✅,Done ✅
Delta,Done ✅,Pending 🟡,Done ✅
Ebonyi,Pending 🟡,Done ✅,Done ✅
Edo,Done ✅,Done ✅,Done ✅
Ekiti,Done ✅,Done ✅,Pending 🟡
Enugu,Done ✅,Done ✅,Done ✅
Federal Capital Territory,Done ✅,Pending 🟡,Pending 🟡
Gombe,Pending 🟡,Done ✅,Done ✅
Imo,Done ✅,Done ✅,Done ✅
Jigawa,Done ✅,Pending 🟡,Done ✅
Kaduna,Pending 🟡,Done ✅,Done ✅
Kano,Done ✅,Pending 🟡,Done ✅
Katsina,Pending 🟡,Done ✅,Done ✅
Kebbi,Done ✅,Done ✅,Done ✅
Kogi,Done ✅,Pending 🟡,Done ✅
Kwara,Pending 🟡,Done ✅,Done ✅
Lagos,Pending 🟡,Done ✅,Done ✅
Nasarawa,Done ✅,Pending 🟡,Done ✅
Niger,Done ✅,Pending 🟡,Pending 🟡
Ogun,Pending 🟡,Done ✅,Done ✅
Ondo,Done ✅,Pending 🟡,Done ✅
Osun,Done ✅,Done ✅,Done ✅
Oyo,Pending 🟡,Done ✅,Done ✅
Plateau,Done ✅,Pending 🟡,Pending 🟡
Rivers,Done ✅,Pending 🟡,Done ✅
Sokoto,Pending 🟡,Pending 🟡,Done ✅
Taraba,Done ✅,Pending 🟡,Done ✅
Yobe,Pending 🟡,Pending 🟡,Done ✅
Zamfara,Done ✅,Done ✅,Done ✅
