,State,LGA,Urban_Target,Rural_Target,Unnamed: 4,Urban_Collected,Rural_Collected,Urban_Completion,Rural_Completion,Urban_Deficit,Rural_Deficit
38,Akwa-Ibom,Abak,3,6,9,0.0,0.0,0.0,0.0,3.0,6.0
39,Akwa-Ibom,Eastern Obolo,3,6,9,0.0,0.0,0.0,0.0,3.0,6.0
40,Akwa-Ibom,Eket,3,6,9,3.0,4.0,100.0,66.66666666666666,0.0,2.0
41,Akwa-Ibom,Esit Eket,3,6,9,0.0,0.0,0.0,0.0,3.0,6.0
42,Akwa-Ibom,Essien Udim,3,6,9,0.0,0.0,0.0,0.0,3.0,6.0
43,Akwa-Ibom,Etim Ekpo,3,6,9,0.0,0.0,0.0,0.0,3.0,6.0
44,Akwa-Ibom,Etinan,3,6,9,3.0,6.0,100.0,100.0,0.0,0.0
45,Akwa-Ibom,Ibeno,3,6,9,0.0,0.0,0.0,0.0,3.0,6.0
46,Akwa-Ibom,Ibesikpo Asutan,3,6,9,6.0,3.0,200.0,50.0,0.0,3.0
47,Akwa-Ibom,Ibiono-Ibom,3,6,9,0.0,0.0,0.0,0.0,3.0,6.0
48,Akwa-Ibom,Ika,3,6,9,0.0,0.0,0.0,0.0,3.0,6.0
49,Akwa-Ibom,Ikono,3,6,9,0.0,0.0,0.0,0.0,3.0,6.0
50,Akwa-Ibom,Ikot Abasi (village),3,6,9,0.0,0.0,0.0,0.0,3.0,6.0
51,Akwa-Ibom,Ikot Ekpene,3,6,9,0.0,0.0,0.0,0.0,3.0,6.0
52,Akwa-Ibom,Ini,3,6,9,0.0,0.0,0.0,0.0,3.0,6.0
53,Akwa-Ibom,Itu,3,6,9,2.0,5.0,66.66666666666666,83.33333333333334,1.0,1.0
54,Akwa-Ibom,Mbo,3,6,9,0.0,0.0,0.0,0.0,3.0,6.0
55,Akwa-Ibom,Mkpat-Enin,3,6,9,0.0,0.0,0.0,0.0,3.0,6.0
56,Akwa-Ibom,Nsit-Atai,3,6,9,0.0,0.0,0.0,0.0,3.0,6.0
57,Akwa-Ibom,Nsit-Ibom,3,6,9,0.0,0.0,0.0,0.0,3.0,6.0
58,Akwa-Ibom,Nsit-Ubium,3,6,9,0.0,0.0,0.0,0.0,3.0,6.0
59,Akwa-Ibom,Obot Akara,3,6,9,0.0,0.0,0.0,0.0,3.0,6.0
60,Akwa-Ibom,Okobo,3,6,9,3.0,4.0,100.0,66.66666666666666,0.0,2.0
61,Akwa-Ibom,Onna,3,6,9,0.0,0.0,0.0,0.0,3.0,6.0
62,Akwa-Ibom,Oron,3,6,9,3.0,5.0,100.0,83.33333333333334,0.0,1.0
63,Akwa-Ibom,Oruk Anam,3,6,9,0.0,0.0,0.0,0.0,3.0,6.0
